DATE,Shift,BODYSRNO,VIN_Number,Buyoff Stage,Model,Platform Group,Stage Name,PART,Defect,PartDefect,Attribute_Name,Custom Attribution,_Offline,_Online,REWORK_STATUS,Location_Name,DEFECT_STATUS,As_Is_Ok,Shop_Name,Model_Description,ModelCode,Severity Name,Domestic/Export,Defect_Category
2026-01-01 00:00:00,Shift 1st,NVT20244XJ,MA1UN2YY2T2A13906,Damage Repair,THAR ROXX,PAINT,Major Booth,HOOD OUT,DAMAGE,HOOD OUT Damage,,,1.0,0.0,0.0,,1.0,0.0,NPS,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01XJ,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20116XJ,MA1UN2YY2T2A13772,Damage Repair,THAR ROXX,PAINT,Major Booth,HOOD OUT,Damage/Dent,HOOD OUT Damage/Dent,,,1.0,0.0,0.0,,1.0,0.0,NPS,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01XJ,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20252XJ,MA1UN2YY2T2A13968,Damage Repair,THAR ROXX,PAINT,Major Booth,RH BODY PANEL,DAMAGE,RH BODY PANEL Damage,,,1.0,0.0,0.0,,1.0,0.0,NPS,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01XJ,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20184AM,MA1UN4YY2T2A13845,Damage Repair,THAR ROXX,PAINT,Major Booth,RH BODY PANEL,DAMAGE,RH BODY PANEL Damage,,,1.0,0.0,0.0,,1.0,0.0,NPS,W507 - THAR AX7L DSL MT 4WD 5ST MHT V28,AW5078YYT2D4PF01AM,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20184AM,MA1UN4YY2T2A13845,Damage Repair,THAR ROXX,PAINT,Major Booth,RH QTR PNL,DAMAGE,RH QTR PNL Damage,,,1.0,0.0,0.0,,1.0,0.0,NPS,W507 - THAR AX7L DSL MT 4WD 5ST MHT V28,AW5078YYT2D4PF01AM,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20029AM,MA1UN4KY7T2A13710,DING DENT,THAR ROXX,TCF,DING DENT,DOOR,DAMAGE,DOOR DAMAGE,STCF,TCF,1.0,0.0,0.0,BACK,1.0,1.0,Scorpio TCF,W507 - THAR AX7L DSL AT 4WD 5ST MHT V29,AW5078KYT7D4PF01AM,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20101XJ,MA1UN2YY2T2A13699,Paint,THAR ROXX,TCF,PAINT,D PILLAR,SCRATCHES,D PILLAR SCRATCHES,STCF,TCF,1.0,0.0,1.0,LH,1.0,0.0,Scorpio TCF,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01XJ,V1,Domestic,DDS
2026-01-01 00:00:00,Shift 1st,NVT20250XJ,MA1UN2YY2T2A13678,SHOWER,THAR ROXX,TCF,,,,,,,1.0,0.0,,,0.0,0.0,Scorpio TCF,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01XJ,,Domestic,Non-DDS
2026-01-01 00:00:00,Shift 1st,NVT19984ZP,MA1UN2YY2T2A13628,SHOWER,THAR ROXX,TCF,,,,,,,1.0,0.0,,,0.0,0.0,Scorpio TCF,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01ZP,,Domestic,Non-DDS
2026-01-01 00:00:00,Shift 1st,NVT20011ZP,MA1UN2YY2T2A13690,SHOWER,THAR ROXX,TCF,,,,,,,1.0,0.0,,,0.0,0.0,Scorpio TCF,W502 - THAR MX1  DSL MT 2WD 5ST MHT V2,AW5026YYT2D4GF01ZP,,Domestic,Non-DDS
