Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),TORQUE,Torque Value of Lock Ring,270,44.87,43.19
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),TORQUE,Torque Value of Lock Ring,270,42.47,40.76
DDA00882AB,AUTOMECH,0502AAA13660N,THAR 5DOOR (W502),TORQUE,LCA to lower balljoint torque,240,13.57,12.98
DDA00882AB,AUTOMECH,0502AAA13650N,THAR 5DOOR (W502),TORQUE,LCA  to Lower balljoint torque,240,12.94,12.32
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW500240D,THAR 5DOOR (W502),OTHER,Laser Scoring - No. of Holes- Hard,2172,8.84,8.37
DDU00161AA,UNO MINDARIKA PVT LTD,1803AW500111N,THAR 5DOOR (W502),DIMN - DIMENSION,Center distance,72,7.75,7.72
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),TORQUE,SBB Anchorage torque,50,7.879,7.529
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW502470D,THAR 5DOOR (W502),OTHER,Laser Scoring - No. of Holes- Soft,1647,7.56,7.51
DDF00006AA,FAURECIA EMISSIONS CONTROL,0901AAC01071N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,7.46
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAB03701N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,7.37
DDM00239AB,MITSUBA INDIA PRIVATE LIMITED,0116EW500031N,THAR 5DOOR (W502),ANGLE,Wiping Angle at No load,174,7.66,7.21
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),TORQUE,SBB Anchorage torque,50,7.634,7.183
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAB03571N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,6.69
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),TORQUE,Marriage bolt torque,45,6.959,6.638
DDF00006AA,FAURECIA EMISSIONS CONTROL,0901BAC00291N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,6.5
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAC01261N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,6.08
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),TORQUE,Marriage bolt torque,45,6.202,5.884
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),TORQUE,ELR belt torque,50,6.182,5.838
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAB03561N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,5.71
