Serial Number,Attribution,SAP Claim No,Commodity,Decision
S2C47832,,,,MTN
S2D15018,,,,MTN
R2L27165,,,,SM
S2E34128,,,,SM
R2J40204,,,,RV
R2M28793,,,,RV
R2M30003,,,,RV
S2D20348,,,,RV
R2L17027,,,,RS
R2L20932,,,,RS
R2L23530,,,,RS
S2A14192,,,,RS
R2L27040,,,,SM
S2C37808,,,,SM
S2C43181,,,,SM
S2C45965,,,,SM
S2D20348,,,,SM
R2G16792,,,,RV
R2H25278,,,,RV
R2H25584,,,,RV
R2H25813,,,,RV
R2J33010,,,,RV
R2J36311,,,,RV
R2K10361,,,,RV
R2K12603,,,,RV
R2K48997,,,,RV
R2L27314,,,,RV
R2M29283,,,,RV
R2M31014,,,,RV
R2M32648,,,,RV
S2B28752,,,,RV
S2D10762,,,,RV
S2D12135,,,,RV
S2D15548,,,,RV
S2E30485,,,,RV
S2E34805,,,,RV
S2F39228,,,,RV
S2F43175,,,,RV
S2B24650,,,,PSC
S2B27648,,,,MTN
S2F41523,,,,MTN
R2J34324,,,,RV
R2J36772,,,,RV
R2K43482,,,,RV
R2L24845,,,,RV
S2A13093,,,,RV
S2B23412,,,,RV
S2B32812,,,,RV
S2C47371,,,,RV
S2D20093,,,,RV
S2F42751,,,,RV
R2J37608,,,,MTN
R2J39045,,,,MTN
R2J39045,,,,MTN
R2J40058,,,,MTN
R2K10562,,,,MTN
R2L16505,,,,MTN
R2L16505,,,,MTN
R2L17053,,,,MTN
R2L17053,,,,MTN
S2A13597,,,,MTN
S2A17630,,,,MTN
S2B26658,,,,MTN
S2B26658,,,,MTN
S2B27044,,,,MTN
S2B29610,,,,MTN
S2B30585,,,,MTN
S2B33504,,,,MTN
S2C39644,,,,MTN
S2C40133,,,,MTN
S2C41938,,,,MTN
S2C46150,,,,MTN
S2D10947,,,,MTN
S2D10947,,,,MTN
S2D11384,,,,MTN
S2D17098,,,,MTN
S2D17679,,,,MTN
S2E29517,,,,MTN
S2F45091,,,,MTN
S2G12263,,,,MTN
S2G12382,,,,MTN
S2G12382,,,,MTN
R2H19911,ANALYSIS SCRAP,,,SM
R2H20977,ANALYSIS SCRAP,,,SM
R2H28251,ANALYSIS SCRAP,,,SM
R2H29634,,,,SM
R2J30911,,,,SM
R2J30911,,,,SM
R2J33505,ANALYSIS SCRAP,,,SM
R2J34239,ANALYSIS SCRAP,,,SM
