Concern Report Date,Part No,Vendor Name,Concern Description,Vehicle Model,Qty. Reported,Initial Analysis & Reason for Attributio,Reason for ICA Not Possible,ICA Details at M&M,ICA Failure,Segregation Qty,OK Qty,Rejection(BLock)Qty (344 and 350 Mvt),Scarp Qty(951 and 551 Mvt),Rework Qty,Deviation Qty,Line Loss,Yard Hold,ESQA Entry Required,Justification for ESQA Not Required,ESQA Number
2024-07-23,0101EW503850N,ANANDJI HARIDAS & CO. PVT LTD,Fuel Box Bump stopper  bracket 02 spot fail Out Of 02.,THAR ROXX,1,Fuel Box Bump stopper  bracket 02 spot fail Out Of 02.,,100% Part Inspection.,N,0,0,128,0,0,0,N,N,Y,,2014124978.0
2024-07-27,0109BW500271N,SMR AUTOMOTIVE SYSTEMS INDIA LTD,Rattle Noise From Orvm,THAR ROXX,1,Excess Play In Head,,ICA started by Manually  checking,N,40,39,1,0,0,0,N,N,Y,,2014124938.0
2024-07-23,0101EW504250N,ANANDJI HARIDAS & CO. PVT LTD,Fuel lid 7 spot broken out of 9,THAR ROXX,1,Fuel lid 7 spot broken out of 9,,100% Part Inspection.,N,0,0,35,0,0,0,N,N,Y,,2014124990.0
2024-07-26,2401AW500811A,MSKH SEATING SYSTEMS INDIA (P) LTD,ventilation cushion fan not working,THAR ROXX,1,Ventilation cushion fan not working,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,Y,,2014124967.0
2024-07-26,2302GW500511N,Exotech Plastics,THAR ROXX Badge 'O' Orientation Wrong,THAR ROXX,1,THAR ROXX Badge 'O' Orientation Wrong,,ICA started by visual checking,N,300,268,0,0,32,0,N,N,Y,,2014125043.0
2024-07-27,0111JAP00301N,LS Automotive India Pvt Ltd,Window Switch Inoperative. UP Fuction Not Work.,THAR ROXX,1,Window Switch Inoperative. UP Fuction Not Work.,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,N,For Analysis,
2024-07-29,0102AW500880N,SHREE SHYAM PROCESSORS PVT LTD,ECU MTG Bracket Hole Position Shifted Causing Nut Mismatch.,THAR ROXX,1,ECU MTG Bracket Hole Position Shifted Causing Nut Mismatch.,,100% Part Inspection.,N,37,19,0,0,18,0,N,N,Y,,2014125039.0
2024-07-29,2401AW500691A,MSKH SEATING SYSTEMS INDIA (P) LTD,Seat Cusion Fouling To Consol,THAR ROXX,1,Seat Cusion Fouling To Consol,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,Y,,2014125092.0
2024-07-30,0114CW500081N,SHIVANI LOCKS PVT. LTD.,Hood Not lock,THAR ROXX,1,Hood Latch Clamps Fouling With each Other,,ICA Started With Manually Checking,N,450,449,1,0,0,0,N,N,Y,,2014125158.0
2024-07-30,0101EW506270N,TRIKAYA COATINGS PVT.LTD.,M6 Nut Welded In Wrong Position.,THAR ROXX,1,M6 Nut Welded In Wrong Position.,,100% Part Inspection.,N,550,549,1,0,0,0,N,N,Y,,2014125181.0
2024-08-01,0122BW500110N,SLIDEWELL MEILLEUR TECH PRIVATE LTD,Rear Camera Fitment Not Possible,THAR ROXX,1,Bracket  CD Found Not Ok,,ICA Started By Matting With Part.,N,100,64,36,0,0,0,N,N,Y,,2014125213.0
2024-08-02,0101BW503590N,TRIKAYA COATINGS PVT.LTD.,Identification Punching Wrong,THAR ROXX,1,Identification Punching Wrong,,100% Part Inspection.,N,165,164,1,0,0,0,N,N,Y,,2014125322.0
2024-08-03,0107BW500211N,GOLDSEAL-SAARGUMMI INDIA PVT. LTD.,Door seal fitment not possible - Seal length excess,THAR ROXX,1,Door seal fitment not possible - Seal length excess,,ICA Started By Checking With Measurement,N,200,182,18,0,0,0,N,N,Y,,2014125267.0
2024-08-03,0111CW500140N,ASAHI INDIA GLASS LTD.,Rear RH door glass fitment not possible,THAR ROXX,1,Hole punching operation missing,,ICA started by visual checking.,N,900,899,1,0,0,0,N,N,Y,,2014125300.0
2024-08-03,0102FW500030N,JBM AUTO LIMITED,Hood Catcher bkt  2 out of 02 spot  broken.,THAR ROXX,1,Hood Catcher bkt  2 out of 02 spot  broken on line.,,100% Part Inspection.,N,280,12,0,0,268,0,N,N,Y,,2014125310.0
2024-08-03,2301BW500071D,Minda Corporation Limited,AC Vent Knob Fins Horizontal Movement Effort High,THAR ROXX,1,AC Vent Knob Fins Horizontal Movement Effort High,,ICA started by Mannualy checking,N,0,0,133,0,0,0,N,N,Y,,2014125228.0
