TDATE,BOMPARTNO,VINNumber,ScanValue
2024-12-01,2301AW503170N,MA1UN2KY7R2M28319, 019:2301AW503170N:DI061A:291124:03:000
2024-12-01,2301AW502190N,MA1UN2KY7R2M28319, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05451N,MA1UN2KY7R2M28319,000:1501BAA05451N:DD013IA:270924:01:000000P2:005:0350
2024-12-01,2402AW500241A,MA1UN2YY2R2L28241,022:2402AW500241A:DM203B:291124:02:SIN-291124-887896NSK01
2024-12-01,2401AW500631A,MA1UN2YY2R2L28241,021:2401AW500631A:DM203B:301124:3:SIN-271124-130941NSK01
2024-12-01,2401AW500611A,MA1UN2YY2R2L28241,020:2401AW500611A:DM203B:291124:2:SIN-291124-132847NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28320, 019:2301AW502250N:DI061A:281124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28320, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28320,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0651
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28326, 311:2301AW502200N:DI061A:241124:02:000
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28326, 019:2301AW502180N:DI061A:291124:03:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28326,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0570
2024-12-01,2402AW500281A,MA1UN2YY2R2L28187,022:2402AW500281A:DM203B:301124:01:SIN-301124-891416NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2L28187,021:2401AW500821A:DM203B:291124:2:SIN-291124-132907NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2L28187,020:2401AW500811A:DM203B:291124:2:SIN-291124-132901NSK01
2024-12-01,2301AW503160N,MA1UN4KY7R2M28332, 019:2301AW503160N:DI061A:261124:01:752
2024-12-01,2301AW502190N,MA1UN4KY7R2M28332, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN4KY7R2M28332,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0652
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28333, 019:2301AW502180N:DI061A:291124:03:000
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28333, 311:2301AW502200N:DI061A:241124:02:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28333,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0562
2024-12-01,2402AW500281A,MA1UN2KY7R2L28285,
2024-12-01,2401AW500821A,MA1UN2KY7R2L28285,021:2401AW500821A:DM203B:301124:3:SIN-301124-133181NSK01
2024-12-01,2401AW500811A,MA1UN2KY7R2L28285,020:2401AW500811A:DM203B:301124:1:SIN-301124-133187NSK01
2024-12-01,2402AW500281A,MA1UN2YY2R2L28251,022:2402AW500281A:DM203B:301124:01:SIN-301124-891433NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2L28251,021:2401AW500821A:DM203B:301124:1:SIN-301124-133197NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2L28251,020:2401AW500811A:DM203B:301124:1:SIN-301124-133198NSK01
